iter	Passed	Remaining
821	1223	264
822	1224	263
823	1226	261
824	1227	260
825	1229	258
826	1230	257
827	1231	255
828	1233	254
829	1235	252
830	1236	251
831	1237	249
832	1239	248
833	1240	246
834	1241	245
835	1242	243
836	1244	242
837	1245	240
838	1246	239
839	1248	237
840	1249	236
841	1251	234
842	1252	233
843	1253	231
844	1255	230
845	1256	228
846	1258	227
847	1259	225
848	1261	224
849	1262	222
850	1264	221
851	1266	219
852	1267	218
853	1269	216
854	1270	215
855	1272	214
856	1273	212
857	1275	211
858	1277	209
859	1279	208
860	1281	206
861	1282	205
862	1283	203
863	1285	202
864	1286	200
865	1287	199
866	1288	197
867	1290	196
868	1291	194
869	1293	193
870	1294	191
871	1296	190
872	1297	188
873	1298	187
874	1299	185
875	1301	184
876	1302	182
877	1303	181
878	1304	179
879	1306	178
880	1307	176
881	1308	175
882	1310	173
883	1311	172
884	1313	170
885	1314	169
886	1315	167
887	1317	166
888	1318	164
889	1319	163
890	1321	161
891	1324	160
892	1326	158
893	1327	157
894	1328	155
895	1330	154
896	1331	152
897	1332	151
898	1334	149
899	1335	148
900	1336	146
901	1337	145
902	1339	143
903	1340	142
904	1341	140
905	1343	139
906	1344	137
907	1346	136
908	1347	134
909	1349	133
910	1351	132
911	1353	130
912	1354	129
913	1356	127
914	1357	126
915	1359	124
916	1360	123
917	1361	121
918	1363	120
919	1365	118
920	1366	117
921	1368	115
922	1369	114
923	1371	112
924	1372	111
925	1373	109
926	1374	108
927	1376	106
928	1377	105
929	1379	103
930	1380	102
931	1381	100
932	1383	99
933	1384	97
934	1385	96
935	1386	94
936	1388	93
937	1389	91
938	1390	90
939	1392	88
940	1393	87
941	1394	85
942	1396	84
943	1397	82
944	1398	81
945	1400	79
946	1401	78
947	1402	76
948	1404	75
949	1405	73
950	1406	72
951	1408	70
952	1409	69
953	1411	68
954	1412	66
955	1413	65
956	1415	63
957	1416	62
958	1417	60
959	1419	59
960	1420	57
961	1421	56
962	1422	54
963	1424	53
964	1425	51
965	1426	50
966	1428	48
967	1429	47
968	1430	45
969	1432	44
970	1433	42
971	1434	41
972	1435	39
973	1437	38
974	1438	36
975	1439	35
976	1441	33
977	1442	32
978	1443	30
979	1445	29
980	1446	28
981	1447	26
982	1449	25
983	1450	23
984	1451	22
985	1453	20
986	1454	19
987	1455	17
988	1457	16
989	1458	14
990	1459	13
991	1460	11
992	1462	10
993	1463	8
994	1464	7
995	1465	5
996	1467	4
997	1468	2
998	1470	1
999	1471	0
